"NAME","X","Y","Z","Main_molecular_cell_type","Sub_molecular_cell_type","Main_molecular_tissue_region","Sub_molecular_tissue_region","Molecular_spatial_cell_type"
"TYPE","numeric","numeric","numeric","group","group","group","group","group"
"well05_0","227.015748031496","1388.71653543307","10.5354330708661","Perivascular macrophages","PVM","FbTrt","FT_2","PVM-FT_2"
"well05_1","251.090909090909","103.232323232323","10.853535353535399","Oligodendrocytes","OLG_2","FbTrt","FT_2","OLG_2-FT_2"
"well05_2","1059.26267281106","895.8571428571429","13.4654377880184","Astrocytes","AC_1","LSX_HY_MB_HB","HY_2","AC_1-HY_2"
"well05_3","1047.6175548589301","1048.35423197492","10.9561128526646","Vascular and leptomeningeal cells","VLM_2","LSX_HY_MB_HB","HY_2","VLM_2-HY_2"
"well05_4","693.489539748954","920.4476987447699","13.3682008368201","Oligodendrocytes","OLG_2","FbTrt","FT_2","OLG_2-FT_2"
"well05_5","574.3390557939911","793.034334763949","11.412017167382","Oligodendrocytes","OLG_1","FbTrt","FT_2","OLG_1-FT_2"
"well05_6","744.273469387755","1076.24897959184","17.2163265306122","Oligodendrocytes","OLG_2","FbTrt","FT_2","OLG_2-FT_2"
"well05_7","632.988571428571","889.474285714286","13.537142857142902","Oligodendrocytes","OLG_2","FbTrt","FT_2","OLG_2-FT_2"
"well05_8","580.85559566787","246.981949458484","9.50180505415162","Oligodendrocytes","OLG_2","FbTrt","FT_2","OLG_2-FT_2"
